"fecha","matricula_area","area_academica","periodo","año_y"
"2009-12-01","141","CIENCIAS AGRÍCOLAS, PECUARIAS Y RECURSOS NATURALES","2009-II","2009"
"2009-12-01","160","CIENCIAS SOCIALES","2009-II","2009"
"2009-12-01","94","INGENIERIA DESARROLLO TECNOLOGICO PRODUCTIVO","2009-II","2009"
"2009-12-01","42"," CIENCIAS DE LA SALUD","2009-II","2009"
"2009-12-01","53","ESTOMATOLOGIA","2009-II","2009"
"2009-12-01","92","CIENCIA Y TECNOLOGIA","2009-II","2009"
"2009-12-01","647","SIN AREA","2009-II","2009"
"2010-01-01","349","CIENCIAS Y ARTES DEL HÁBITAT","2010-I","2010"
"2010-01-01","1027","ESTOMATOLOGIA","2010-I","2010"
"2010-01-01","3662","SIN AREA","2010-I","2010"
"2010-01-01","2904","CIENCIAS DE LA EDUCACIÓN","2010-I","2010"
"2010-01-01","2216"," CIENCIAS DE LA SALUD","2010-I","2010"
"2010-02-01","2267","CIENCIAS SOCIALES","2010-I","2010"
"2010-02-01","2086","CIENCIAS ECONÓMICAS, FINANCIERAS Y ADMINISTRATIVAS","2010-I","2010"
"2010-03-01","1014","CIENCIAS AGRÍCOLAS, PECUARIAS Y RECURSOS NATURALES","2010-I","2010"
"2010-03-01","632","CIENCIA Y TECNOLOGIA","2010-I","2010"
"2010-03-01","554","INGENIERIA DESARROLLO TECNOLOGICO PRODUCTIVO","2010-I","2010"
"2010-07-01","394","SIN AREA","2010-II","2010"
"2010-07-01","131","CIENCIAS SOCIALES","2010-II","2010"
"2010-07-01","55","CIENCIAS ECONÓMICAS, FINANCIERAS Y ADMINISTRATIVAS","2010-II","2010"
"2010-07-01","111","CIENCIA Y TECNOLOGIA","2010-II","2010"
"2010-07-01","24"," CIENCIAS DE LA SALUD","2010-II","2010"
"2010-07-01","135","CIENCIAS AGRÍCOLAS, PECUARIAS Y RECURSOS NATURALES","2010-II","2010"
"2010-07-01","89","CIENCIAS Y ARTES DEL HÁBITAT","2010-II","2010"
"2010-07-01","86","INGENIERIA DESARROLLO TECNOLOGICO PRODUCTIVO","2010-II","2010"
"2010-07-01","47","ESTOMATOLOGIA","2010-II","2010"
"2010-09-01","356","CIENCIAS DE LA EDUCACIÓN","2010-II","2010"
"2011-01-01","2978","CIENCIAS DE LA EDUCACIÓN","2011-I","2011"
